"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"820531002","2019-07-12T00:00:00.000","03:10:00","2019-07-12T00:00:00.000","04:00:00","19","2019-07-12T00:00:00.000","348","VEHICLE AND TRAFFIC LAWS","916.0","LEAVING SCENE-ACCIDENT-PERSONA","COMPLETED","MISDEMEANOR","MANHATTAN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"993569","217891",,,,,"40.76474020200004","-73.96636024699995","(40.76474020200004, -73.96636024699995)","PATROL BORO MAN NORTH",,"UNKNOWN","UNKNOWN","D"
"589848708","2019-07-11T00:00:00.000","16:20:00",,,"43","2019-07-11T00:00:00.000","235","DANGEROUS DRUGS","511.0","CONTROLLED SUBSTANCE, POSSESSI","COMPLETED","MISDEMEANOR","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1018367","240337","18-24","BLACK","M",,"40.82628742000002","-73.87672654599999","(40.82628742000002, -73.87672654599999)","PATROL BORO BRONX",,"UNKNOWN","UNKNOWN","E"
"137490633","2019-07-11T00:00:00.000","14:10:00",,,"63","2019-07-11T00:00:00.000","118","DANGEROUS WEAPONS","792.0","WEAPONS POSSESSION 1 & 2","COMPLETED","FELONY","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0.0",,,,"1005781","162986",,,,,"40.614017371000045","-73.92245091499996","(40.614017371000045, -73.92245091499996)","PATROL BORO BKLYN SOUTH",,"UNKNOWN","UNKNOWN","E"
"946215494","2019-07-11T00:00:00.000","13:47:00",,,"62","2019-07-11T00:00:00.000","351","CRIMINAL MISCHIEF & RELATED OF","258.0","CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","BROOKLYN",,"OTHER","N.Y. POLICE DEPT","0.0",,,,"982411","160385",,,,,"40.60690412600008","-74.00662445799998","(40.60690412600008, -74.00662445799998)","PATROL BORO BKLYN SOUTH",,"UNKNOWN","UNKNOWN","E"
"562695730","2019-07-11T00:00:00.000","12:50:00","2019-07-11T00:00:00.000","13:00:00","52","2019-07-11T00:00:00.000","109","GRAND LARCENY","419.0","LARCENY,GRAND FROM PERSON,UNCL","COMPLETED","FELONY","BRONX","INSIDE","LIQUOR STORE","N.Y. POLICE DEPT","0.0",,,,"1017197","260806",,,,,"40.88247312400005","-73.88085350399997","(40.88247312400005, -73.88085350399997)","PATROL BORO BRONX",,"45-64","UNKNOWN","F"
"513268763","2019-07-11T00:00:00.000","06:00:00",,,"47","2019-07-11T00:00:00.000","365","ADMINISTRATIVE CODE","878.0","ADM.CODE,UNCLASSIFIED MISDEMEA","COMPLETED","MISDEMEANOR","BRONX","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0.0",,,,"1023395","257066","UNKNOWN","BLACK","M",,"40.87218267800005","-73.85846124199998","(40.87218267800005, -73.85846124199998)","PATROL BORO BRONX",,"25-44","BLACK","F"
"948150172","2019-07-10T00:00:00.000","08:45:00",,,"88","2019-07-10T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101.0","ASSAULT 3","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0.0",,,,"989123","192604","45-64","BLACK","U",,"40.695337133000066","-73.98242842999997","(40.695337133000066, -73.98242842999997)","PATROL BORO BKLYN NORTH",,"25-44","BLACK","F"
"333471668","2019-07-09T00:00:00.000","22:05:00",,,"23","2019-07-09T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101.0","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"999569","227672","UNKNOWN","UNKNOWN","M",,"40.79157810700008","-73.94467820399994","(40.79157810700008, -73.94467820399994)","PATROL BORO MAN NORTH",,"18-24","BLACK","M"
"643578632","2019-07-09T00:00:00.000","20:52:00",,,"84","2019-07-09T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101.0","ASSAULT 3","COMPLETED","MISDEMEANOR","BROOKLYN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"986977","190564","45-64","BLACK","M",,"40.68973872500004","-73.99016816199997","(40.68973872500004, -73.99016816199997)","PATROL BORO BKLYN NORTH",,"25-44","BLACK","F"
"348545447","2019-07-09T00:00:00.000","20:30:00","2019-07-09T00:00:00.000","20:45:00","70","2019-07-09T00:00:00.000","113","FORGERY","723.0","FORGERY,DRIVERS LICENSE","COMPLETED","FELONY","BROOKLYN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"993625","177253","18-24","BLACK","M",,"40.653198462000034","-73.96621466699997","(40.653198462000034, -73.96621466699997)","PATROL BORO BKLYN SOUTH",,"UNKNOWN","UNKNOWN","E"
